ï»¿Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;semestre;Regiao - Sigla
;RS;VACARIA;ABASTECEDORA DE COMBUSTIVEIS E.L.G LTDA; 06.070.376/0001-59;RUA JULIO DE CASTILHOS;629;;CENTRO;95200-000;DIESEL;13/12/2021;5,699;;R$ / litro;VIBRA ENERGIA;2º semestre;S
;SP;OURINHOS;POSTO GIGANTE DE OURINHOS LTDA - EPP; 11.682.760/0001-42;AVENIDA DOMINGOS CAMERLINGO CALO;2000;;VILA ODILON;19905-136;GASOLINA;02/08/2021;5,369;;R$ / litro;BRANCA;2º semestre;SE
;PR;GUARAPUAVA;FERLIM & FERLIM LTDA; 00.118.860/0001-24;RUA PROFESSOR BECKER;2307;;TIANON;85010-170;DIESEL S10;24/11/2021;5,199;;R$ / litro;IPIRANGA;2º semestre;S
NE;AL;MACEIO;AUTO POSTO MILLENIUM LTDA; 05.072.232/0001-79;AVENIDA JULIO MARQUES LUZ;655;;JATIUCA;57035-700;GASOLINA;04/01/2021;4,899;;R$ / litro;RAIZEN;1º semestre;
S;RS;GRAVATAI;COMERCIO DE COMBUSTIVEIS EL TORO LTDA; 07.371.527/0001-71;RODOVIA RS 20;2875;;VILA PLANALTINA;94100-250;GASOLINA ADITIVADA;09/06/2021;5,869;;R$ / litro;IPIRANGA;1º semestre;
;RS;PORTO ALEGRE;A 9 COMERCIO DE COMBUSTIVEIS LTDA. - EPP; 26.842.032/0001-28;RUA BARAO DO AMAZONAS;925;;PETROPOLIS;90670-004;GASOLINA;21/07/2021;6,199;;R$ / litro;IPIRANGA;2º semestre;S
;PI;TERESINA;POSTO 19 DE MARCO LTDA; 05.032.132/0001-19;RUA SIMPLICIO MENDES;1697;;VERMELHA;64018-510;DIESEL S10;07/07/2021;4,799;;R$ / litro;BRANCA;2º semestre;NE
;SP;FRANCA;V. L. R. COMERCIO DE COMBUSTIVEIS LTDA.; 10.755.441/0001-57;AVENIDA EMILIO PALUDETTO;5,6;;VILA REAL;14403-860;ETANOL;11/08/2021;4,249;;R$ / litro;BRANCA;2º semestre;SE
SE;SP;JUNDIAI;GRAN TUR POSTOS DE SERVICOS LTDA; 12.640.285/0001-04;AVENIDA SAO JOAO;178;;PONTE SAO JOAO;13216-000;ETANOL;11/05/2021;3,899;;R$ / litro;BRANCA;1º semestre;
;SP;SAO PAULO;TRAPEZIO AUTO POSTO LTDA; 43.805.357/0001-50;RUA COSTA BARROS;2695;;VILA ALPINA;03210-001;GASOLINA ADITIVADA;19/10/2021;6,599;;R$ / litro;RAIZEN;2º semestre;SE
SE;SP;SAO CARLOS;POSTO UNIVERSITARIO SAO CARLOS LTDA; 03.524.280/0001-25;RUA CAPITAO ADAO PEREIRA DA SILVA CABRAL;883;;CENTRO;13561-000;ETANOL;12/05/2021;4,299;;R$ / litro;RAIZEN;1º semestre;
NE;BA;FEIRA DE SANTANA;ARTEMIA DERIVADOS DE PETROLEO LTDA; 26.961.303/0001-64;AVENIDA ARTEMIA PIRES FREITAS;S/N;LOT PRQ CENTAURO;SIM;44085-370;GASOLINA;06/04/2021;5,59;;R$ / litro;RAIZEN;1º semestre;
;SP;BRAGANCA PAULISTA;NIVACAR AUTO POSTO LTDA; 74.444.951/0001-96;AVENIDA DOS IMIGRANTES;4467;;SAO LOURENCO;12902-000;GASOLINA;07/09/2021;5,749;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
SE;SP;POA;AUTO POSTO SANTO AGOSTINHO LTDA; 10.363.342/0001-20;AVENIDA BRASIL;700;;CALMON VIANA;08561-005;GASOLINA;27/04/2021;5,499;;R$ / litro;IPIRANGA;1º semestre;
;MG;MURIAE;POSTO JOIA DE MURIAE LTDA; 19.661.701/0001-08;AVENIDA MONTEIRO DE CASTRO;444;;BARRA;36884-013;DIESEL;20/12/2021;5,499;;R$ / litro;ALESAT;2º semestre;SE
SE;SP;SAO CAETANO DO SUL;AUTO POSTO CERAMICA LTDA; 59.292.607/0001-35;RUA ENGENHEIRO ARMANDO ARRUDA PEREIRA;863;;CERÃMICA;09581-170;GASOLINA;01/03/2021;4,979;;R$ / litro;BRANCA;1º semestre;
CO;MT;CUIABA;EBC COMERCIO DE COMBUSTIVEIS E SERVICOS LTDA; 28.208.307/0001-00;AVENIDA JOSE MONTEIRO DE FIGUEIREDO;675;;DUQUE DE CAXIAS I;78043-300;GASOLINA;02/02/2021;4,788;;R$ / litro;IPIRANGA;1º semestre;
;CE;FORTALEZA;J A COMERCIO COMBUSTIVEIS LTDA; 02.696.818/0001-16;AV JORNALISTA TOMAZ COELHO;2960;A;JANGURUSSU;60534-160;ETANOL;12/10/2021;5,399;;R$ / litro;BRANCA;2º semestre;NE
SE;SP;SANTO ANDRE;AUTO POSTO NOVENTA LTDA; 02.001.242/0001-25;AVENIDA ANDRADE NEVES;159;;VILA ALZIRA;09175-360;ETANOL;19/04/2021;3,699;;R$ / litro;RAIZEN;1º semestre;
SE;RJ;BELFORD ROXO;AUTO POSTO DE SERVIÃOS BELROXO 1 LTDA.; 07.535.112/0001-96;AVENIDA JOSÃ MARIANO DOS PASSOS;1725;;CENTRO;26130-570;ETANOL;06/04/2021;5,599;;R$ / litro;VIBRA ENERGIA;1º semestre;
S;RS;SAO LEOPOLDO;CORAL GLABES COMERCIO DE COMBUSTIVEIS LTDA; 24.387.419/0001-06;AVENIDA JOAO CORREA;1755;;CENTRO;93010-363;GASOLINA ADITIVADA;03/06/2021;6,099;;R$ / litro;BRANCA;1º semestre;
SE;SP;SAO PAULO;AUTO POSTO E SERVICOS CURVAO LTDA; 21.960.361/0001-50;RUA MARCIO BECK MACHADO;150;;CIDADE TIRADENTES;08485-455;ETANOL;09/03/2021;4,099;;R$ / litro;IPIRANGA;1º semestre;
;MT;CUIABA;AUTO POSTO SANTA MARTA LTDA; 28.279.948/0001-47;AVENIDA MIGUEL SUTIL;6692;ESQ. RUA SAO PAULO;JARDIM SANTA MARTA;78043-695;GASOLINA;16/08/2021;5,999;;R$ / litro;RAIZEN;2º semestre;CO
NE;AL;ARAPIRACA;POSTO E HOTEL DIVAN LTDA; 24.313.645/0001-42;AVENIDA GOVERNADOR ANTONIO SIMEÃO LAMENHA FILHO;406;;JARDIM TROPICAL;57300-000;GASOLINA ADITIVADA;18/05/2021;6,089;;R$ / litro;VIBRA ENERGIA;1º semestre;
N;AC;RIO BRANCO;LIDER AUTO POSTO LTDA; 84.301.191/0001-11;RUA SERGIPE;276;;CENTRO;69900-072;ETANOL;02/05/2021;4,99;;R$ / litro;BRANCA;1º semestre;
;CE;CAUCAIA;M M COMERCIO VAREJISTA DE COMBUSTIVEIS EIRELI; 02.333.098/0001-24;RUA ULISSES GUIMARAES;S/N;;IPARANA;61604-150;DIESEL S10;08/09/2021;4,899;;R$ / litro;RAIZEN;2º semestre;NE
;PI;PARNAIBA;POSTO MAIS SAO SEBASTIAO LTDA; 29.088.775/0001-42;AVENIDA SAO SEBASTIAO;1640;;CAMPOS;64215-044;GASOLINA ADITIVADA;28/07/2021;6,499;;R$ / litro;BRANCA;2º semestre;NE
;MG;VICOSA;POSTO MILLENNIUN DE VICOSA LTDA; 04.158.512/0001-31;AVENIDA MARECHAL HUMBERTO CASTELO BRANCO;1825;;SANTO ANTÔNIO;36570-000;GASOLINA;01/09/2021;6,63;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;DF;BRASILIA;AUTO POSTO ADE CEILANDIA SUL LTDA; 24.099.794/0001-50;QUADRA ADE QUADRA 3 CONJUNTO B;S/N;LOTE  01                        CEILANDIA;AREA DE DESENVOLVIMENTO ECONOMICO (CEILANDIA);72237-320;GASOLINA;08/09/2021;6,499;;R$ / litro;VIBRA ENERGIA;2º semestre;CO
;GO;GOIANIA;AUTO POSTO OURO NEGRO LTDA; 11.949.696/0001-13;AVENIDA RIO VERDE;5250;QD. 90 LT. 1,2,3 E 4;VILA ROSA;74843-660;GASOLINA ADITIVADA;08/09/2021;6,479;;R$ / litro;BRANCA;2º semestre;CO
;SP;SAO PAULO;AUTO POSTO ÁGUIA FORTE LTDA; 02.635.047/0001-57;RUA GENERAL PORFÍRIO DA PAZ;19;;JARDIM GRIMALDI;03918-000;GASOLINA;17/11/2021;6,699;;R$ / litro;IPIRANGA;2º semestre;SE
;PR;PONTA GROSSA;COMERCIAL DE COMBUSTIVEIS DOMENE LTDA; 06.165.137/0001-82;AVENIDA VISCONDE MAUA;3080;;OFICINAS;84043-000;GASOLINA;22/09/2021;5,999;;R$ / litro;BRANCA;2º semestre;S
;SC;BLUMENAU;AUTO POSTO TRIBESS LTDA; 02.894.393/0001-50;RUA HERMANN TRIBESS;507;FRENTE;TRIBESS;89055-400;GASOLINA ADITIVADA;20/07/2021;5,729;;R$ / litro;REJAILE;2º semestre;S
;RN;PARNAMIRIM;POSTO PINHEIRO BORGES LTDA; 08.277.717/0001-97;AVENIDA PILOTO PEREIRA TIM;617;;PARQUE DE EXPOSICOES;59146-480;GASOLINA ADITIVADA;01/09/2021;6,199;;R$ / litro;IPIRANGA;2º semestre;NE
NE;CE;FORTALEZA;MILLENNIUM PETROLEO LTDA; 03.524.403/0002-09;AVENIDA OSORIO DE PAIVA;621;;PARANGABA;60720-000;ETANOL;20/01/2021;3,749;;R$ / litro;IPIRANGA;1º semestre;
NE;PB;JOAO PESSOA;POSTO DE COMBUSTIVEIS TANQUE CHEIO CRISTO LTDA; 25.199.976/0001-66;RUA HERONIDES MEIRA DE VASCONCELOS;84;SALA  101102102B;CRISTO REDENTOR;58070-460;ETANOL;08/03/2021;3,989;;R$ / litro;VIBRA ENERGIA;1º semestre;
;GO;JATAI;COMERCIAL DE COMBUSTIVEIS VILELAO LTDA; 30.789.081/0001-11;AVENIDA VERIANO DE OLIVEIRA LIMA;1633;QUADRA03                  LOTE  07;DIVINO ESPIRITO SANTO;75804-011;GASOLINA ADITIVADA;25/10/2021;6,79;;R$ / litro;BRANCA;2º semestre;CO
;CE;LIMOEIRO DO NORTE;SAO MATHEUS COMERCIAL DE GAS LTDA; 10.404.912/0004-25;RUA DOS EXPEDICIONARIOS;3714;;BOA FE;62930-000;GASOLINA ADITIVADA;28/09/2021;6,379;;R$ / litro;BRANCA;2º semestre;NE
SE;SP;PIRACICABA;AMALFI & GIANNETTI LTDA; 09.016.608/0001-89;AVENIDA ARMANDO CESARI DEDINI;330;;NOVA PIRACICABA;13405-268;DIESEL S10;03/05/2021;4,739;;R$ / litro;VIBRA ENERGIA;1º semestre;
NE;BA;SALVADOR;CARLOS EDUARDO CASAGRANDE; 12.233.356/0001-54;AVENIDA ANTONIO CARLOS MAGALHAES;2949;;PARQUE BELA VISTA;40280-000;GASOLINA;22/02/2021;5,29;;R$ / litro;RAIZEN;1º semestre;
SE;SP;SANTO ANDRE;AUTO POSTO ESTONIA LTDA; 54.997.143/0001-49;AVENIDA DAS NAÃÃES;826;;PARQUE NOVO ORATÃRIO;09260-000;GASOLINA ADITIVADA;12/04/2021;5,499;;R$ / litro;RAIZEN;1º semestre;
NE;BA;LAURO DE FREITAS;VILAS COMERCIO DE COMBUSTIVEIS LTDA; 01.878.064/0001-52;AVENIDA LUIZ TARQUINIO;S/N;LT. 09 E 10 - QD. 19;VILAS DO ATLÃNTICO;42700-000;GASOLINA;25/05/2021;5,85;;R$ / litro;BRANCA;1º semestre;
;SP;BARUERI;CENTRO AUTOMOTIVO ALPHA CENTER LTDA; 66.897.109/0001-81;ALAMEDA RIO NEGRO;350;;ALPHAVILLE;06400-000;DIESEL S10;15/07/2021;5,099;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;PR;APUCARANA;POSTO GOVERNADOR ROBERTO DA SILVEIRA EIRELI - EPP; 13.629.721/0001-07;AVENIDA GOVERNADOR ROBERTO DA SILVEIRA;480;;BARRA FUNDA;86800-520;ETANOL;29/11/2021;5,8;;R$ / litro;BRANCA;2º semestre;S
;MG;UBA;UBA PETRO LTDA; 02.989.574/0001-60;AVENIDA QUINTINO POGIALLI;20;;WALDEMAR DE CASTRO;36500-001;ETANOL;08/08/2021;4,685;;R$ / litro;BRANCA;2º semestre;SE
;BA;FEIRA DE SANTANA;POSTO DE COMBUSTIVEIS MARIA QUITÉRIA LTDA; 18.569.106/0001-76;AVENIDA MARIA QUITERIA;3208;;QUEIMADINHA;44050-368;DIESEL S10;19/08/2021;4,54;;R$ / litro;BRANCA;2º semestre;NE
SE;SP;HORTOLANDIA;POSTO ABBA LTDA; 14.320.234/0001-20;AVENIDA JOAO COELHO;305;;CHACARA FAZENDA COELHO;13185-000;DIESEL S10;21/06/2021;4,499;;R$ / litro;BRANCA;1º semestre;
;RO;CACOAL;CRIVALE AUTO POSTO LTDA; 05.057.143/0001-53;AVENIDA CASTELO BRANCO;S/N;LOTE 01, QUADRA 78, SETOR 06;JARDIM BANDEIRANTES;78976-230;GASOLINA;29/07/2021;6,15;;R$ / litro;IPIRANGA;2º semestre;N
;SP;ARACATUBA;POSTO PODIUM COMÉRCIO DE COMBUSTÍVEIS LTDA.; 07.157.913/0001-65;RUA DO FICO;556;;SANTANA;16050-387;DIESEL;06/07/2021;4,469;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;SP;MOGI DAS CRUZES;AUTO POSTO CASTILLO LTDA; 11.934.776/0001-03;AVENIDA FRANCISCO FERREIRA LOPES;2646;;VILA JUNDIAI;08745-000;ETANOL;31/08/2021;4,349;;R$ / litro;BRANCA;2º semestre;SE
S;PR;CURITIBA;AUTO POSTO EMF LTDA; 15.099.561/0001-67;RUA CHILE;2311;;REBOUCAS;80220-181;GASOLINA;23/03/2021;5,099;;R$ / litro;BRANCA;1º semestre;
;SP;BOTUCATU;AUTO POSTO M E A LTDA; 08.605.350/0001-93;RUA SANTOS DUMONT;195;;VILA CIDADE JARDIM;18602-200;GASOLINA;11/07/2021;5,549;;R$ / litro;BRANCA;2º semestre;SE
;MG;ARAXA;REDE DE POSTOS 2000 II DE COMBUSTIVEIS LTDA; 35.758.803/0001-94;AVENIDA MINISTRO OLAVO DRUMMOND;190;;NOVO SAO GERALDO;38180-129;DIESEL S10;28/07/2021;4,749;;R$ / litro;TOTAL BRASIL;2º semestre;SE
;SP;PIRACICABA;POSTO J.S. CALDEIRA LTDA.; 12.347.073/0001-33;AVENIDA COMENDADOR LUCIANO GUIDOTTI;1867;;JARDIM CAXAMBU;13425-540;GASOLINA;07/12/2021;6,359;;R$ / litro;RAIZEN;2º semestre;SE
;RS;VIAMAO;AMP POSTOS DE COMBUSTIVEIS LTDA; 31.970.663/0001-62;AVENIDA SENADOR SALGADO FILHO;7277;;QUERENCIA;94440-000;ETANOL;25/08/2021;5,799;;R$ / litro;IPIRANGA;2º semestre;S
SE;MG;UBERLANDIA;COLETO ALDA E FILHOS LTDA; 25.759.283/0003-42;RUA FLORESTANO DE MACEDO TIBERY;5800;;TIBERY;38405-120;DIESEL S10;06/04/2021;4,5;;R$ / litro;RAIZEN;1º semestre;
;SP;MOCOCA;VAP GAS AUTO POSTO LTDA; 04.445.414/0001-85;AVENIDA JOAO BATISTA DE LIMA FIGUEIREDO;3136;;JARDIM LAVINIA;13735-000;ETANOL;22/09/2021;4,539;;R$ / litro;BRANCA;2º semestre;SE
;MS;DOURADOS;AUTO POSTO PARANA LTDA; 11.364.446/0001-11;RUA ROSEMIRO RODRIGUES VIEIRA;390;;PARQUE DAS NAÇÕES II;79842-030;DIESEL S10;13/12/2021;5,399;;R$ / litro;TAURUS;2º semestre;CO
;SP;BIRIGUI;BIRI PETRO COMERCIO DE COMBUSTIVEIS LTDA; 11.465.956/0001-85;RUA JOSE MASSON;800;;JARDIM RECANTO DOS PASSAROS;16201-155;DIESEL;22/12/2021;5,159;;R$ / litro;BRANCA;2º semestre;SE
NE;BA;SALVADOR;PITUBA DERIVADOS DE PETROLEO LTDA; 21.088.382/0001-27;AVENIDA OCTAVIO MANGABEIRA;1283;;PITUBA;41830-050;DIESEL S10;03/05/2021;4,999;;R$ / litro;RAIZEN;1º semestre;
;PR;ARAUCARIA;AUTO POSTO FIALLA LTDA; 78.951.779/0001-18;AVENIDA ARCHELAU DE ALMEIDA TORRES;925;;CENTRO;83702-185;DIESEL S10;28/09/2021;4,499;;R$ / litro;BRANCA;2º semestre;S
NE;CE;SOBRAL;T.C.DE VASCONCELOS; 07.380.155/0002-20;AVENIDA DR JOSE EUCLIDES FERREIRA GOMES;970;;PARQUE SILVANA;62050-070;GASOLINA ADITIVADA;19/05/2021;6,29;;R$ / litro;VIBRA ENERGIA;1º semestre;
SE;MG;UBERLANDIA;AEROPORTO COMBUSTIVEIS LTDA; 16.777.601/0001-45;AVENIDA DOM PEDRO II;525;;ALTO UMUARAMA;38405-280;DIESEL S10;23/06/2021;4,539;;R$ / litro;BRANCA;1º semestre;
;SP;PIRASSUNUNGA;TERNG LEE HUA; 06.131.760/0001-14;AVENIDA CAP. ANTONIO JOAQUIM MENDES;662;;JD CARLOS GOMES;13633-030;ETANOL;21/09/2021;4,45;;R$ / litro;BRANCA;2º semestre;SE
;SP;VOTORANTIM;AUTO POSTO PETROLUK LTDA; 55.610.315/0001-42;AVENIDA OCTAVIO AUGUSTO RANGEL;837; ;CENTRO;18112-000;ETANOL;29/09/2021;4,699;;R$ / litro;RAIZEN;2º semestre;SE
SE;SP;SUMARE;AUTO POSTO VILLALOBOS LTDA - ME; 09.155.349/0001-77;AVENIDA EMILIO BOSCO;1450;;MATAO;13180-000;ETANOL;24/05/2021;4,079;;R$ / litro;BRANCA;1º semestre;
;SP;SAO CAETANO DO SUL;AUTO POSTO BARCELONA LTDA; 47.211.305/0001-06;AVENIDA GOIAS;3007;;BARCELONA;09550-051;ETANOL;14/09/2021;4,299;;R$ / litro;BRANCA;2º semestre;SE
;SC;BRUSQUE;POSTO AGRICOPEL LTDA.; 83.488.882/0006-18;AVENIDA LAURO MULLER;149;;CENTRO;88353-040;DIESEL S10;24/08/2021;4,429;;R$ / litro;RAIZEN MIME;2º semestre;S
SE;ES;SERRA;POSTO TUBARAO COM DE DERIVADOS DE PETROLEO LTDA - ME; 28.037.679/0001-02;AVENIDA PRESIDENTE CASTELO BRANCO;315;;NOSSA SENHORA DO ROSARIO DE FATIMA;29161-135;GASOLINA ADITIVADA;23/05/2021;5,899;;R$ / litro;RAIZEN;1º semestre;
;SP;LINS;AUTO POSTO CASTELO DE LINS EIRELI; 32.084.133/0001-80;RUA FLORIANO PEIXOTO;1009;;CENTRO;16400-101;DIESEL;19/07/2021;4,639;;R$ / litro;BRANCA;2º semestre;SE
S;RS;CANOAS;COMERCIAL DE COMBUSTIVEIS SETEMBRINO LTDA; 07.445.775/0001-10;AVENIDA GETULIO VARGAS;4663;;MARECHAL RONDON;92020-333;ETANOL;03/06/2021;5,299;;R$ / litro;BRANCA;1º semestre;
;SP;PIRACICABA;POSTO DE SERVICOS VILA VERDE DE PIRACICABA LTDA; 21.272.474/0001-62;AVENIDA TRINTA E UM DE MARCO;1303;;PAULICEIA;13424-300;DIESEL;05/07/2021;4,399;;R$ / litro;IPIRANGA;2º semestre;SE
;RS;SAO LEOPOLDO;ARGOS COMERCIAL DE COMBUSTIVEIS LTDA; 00.959.052/0001-90;AVENIDA CAXIAS DO SUL;950;;RIO DOS SINOS;93110-000;GASOLINA;15/07/2021;5,878;;R$ / litro;RAIZEN;2º semestre;S
;MG;UBERABA;POSTO VERA CRUZ LTDA; 25.420.209/0001-35;RUA SAO BENEDITO;417;;SAO BENEDITO;38022-100;DIESEL;06/10/2021;5,129;;R$ / litro;RAIZEN;2º semestre;SE
;SP;SAO PAULO;A.P .PINGO DE PRATA LTDA; 60.675.360/0001-15;AVENIDA DOUTOR EDUARDO COTCHING;1273;;VILA FORMOSA;33560-000;GASOLINA;12/07/2021;5,599;;R$ / litro;IPIRANGA;2º semestre;SE
S;PR;LONDRINA;POSTO FARIA LIMA LTDA.; 06.308.544/0001-00;AVENIDA PREFEITO FARIA LIMA;1040;;JARDIM UNIVERSITÃRIO;86061-450;GASOLINA;23/06/2021;5,53;;R$ / litro;BRANCA;1º semestre;
;BA;SALVADOR;WALTER TANNUS FREITAS; 00.216.623/0001-04;AVENIDA CENTENARIO;2726;;CHAME-CHAME;40155-150;ETANOL;01/11/2021;5,999;;R$ / litro;RAIZEN;2º semestre;NE
;SP;BOTUCATU;BAR RESTAURANTE POSTO AVENIDA LTDA; 45.519.055/0001-40;AVENIDA FLORIANO PEIXOTO;480;;CENTRO;18603-730;DIESEL S10;15/11/2021;5,279;;R$ / litro;BRANCA;2º semestre;SE
CO;DF;BRASILIA;EUROGAS - POSTOS DE SERVICOS LTDA.; 03.648.818/0001-03;QUADRA QS 9 RUA 123;S/N;LOTE  06 08 10 12 E 14;AREAL (AGUAS CLARAS);71977-720;DIESEL S10;10/03/2021;4,399;;R$ / litro;VIBRA ENERGIA;1º semestre;
S;PR;LONDRINA;AUTO POSTO V Y LTDA.; 12.645.178/0001-79;AVENIDA AYRTON SENNA DA SILVA;580;;FAZENDA PALHANO;86050-460;ETANOL;30/03/2021;4,29;;R$ / litro;IPIRANGA;1º semestre;
N;PA;ANANINDEUA;LONGO COMERCIO DE COMBUSTIVEIS LTDA; 29.025.763/0001-79;RODOVIA BR 316;5100;SETOR POSTO DE COMBUSTIVEL;GUANABARA;67010-000;DIESEL S10;10/06/2021;4,999;;R$ / litro;VIBRA ENERGIA;1º semestre;
;PR;MARINGA;POSTO LONDRES LTDA; 24.940.718/0001-26;AVENIDA KAKOGAWA;2161;;JARDIM COPACABANA;87023-753;GASOLINA;20/09/2021;6,09;;R$ / litro;VIBRA ENERGIA;2º semestre;S
;SP;TAUBATE;AUTO POSTO ANA ROSA TAUBATE LTDA; 03.842.497/0001-83;AVENIDA DOM DUARTE LEOPOLDO E SILVA;501;;VILA SAO JOSE;12070-590;ETANOL;13/07/2021;3,999;;R$ / litro;BRANCA;2º semestre;SE
;GO;GOIANIA;AUTO POSTO CHAFARIZ LTDA; 04.806.169/0001-94;RUA S 1;260;QD 146 LT 24;SETOR BUENO;74230-220;DIESEL S10;04/11/2021;5,89;;R$ / litro;BRANCA;2º semestre;CO
;PR;CURITIBA;AUTO POSTO VICENTE MACHADO LTDA; 05.658.350/0001-63;RUA BRIGADEIRO FRANCO;1576;;CENTRO;80420-200;GASOLINA;27/10/2021;6,499;;R$ / litro;BRANCA;2º semestre;S
;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ZANI COMERCIO DE DERIVADOS DE PETROLEO EIRELI; 05.508.853/0001-52;AVENIDA AUGUSTO BUFFULIN;87;;JD. NUNES;15046-800;GASOLINA ADITIVADA;10/11/2021;6,499;;R$ / litro;IPIRANGA;2º semestre;SE
;CE;FORTALEZA;FT COMERCIO DE PETROLEO LTDA; 03.773.814/0001-57;AVENIDA BEZERRA DE MENEZES;285;;FARIAS BRITO;60325-000;GNV;15/11/2021;4,899;;R$ / m³;RAIZEN;2º semestre;NE
;SP;BIRIGUI;BANDEIRAS BIRIGUI AUTO POSTO LTDA; 17.655.363/0001-68;RUA BOM JESUS;1225;;VILA BANDEIRANTES;16203-098;ETANOL;18/08/2021;4,199;;R$ / litro;BRANCA;2º semestre;SE
;SP;ITAPECERICA DA SERRA;REC SERVICOS AUTOMOTIVOS LTDA; 03.176.398/0001-00;RUA MIGUEL ROTGER DOMINGUES;55;;CENTRO;06850-780;DIESEL S10;14/09/2021;4,599;;R$ / litro;BRANCA;2º semestre;SE
SE;SP;JACAREI;AUTO POSTO BANDEIRANTES SJM LTDA.; 64.674.187/0001-91;AVENIDA SENADOR JOAQUIM MIGUEL MARTINS DE SIQUEIRA;495;;JARDIM PEREIRA DO AMPARO;12327-695;GASOLINA;30/04/2021;5,099;;R$ / litro;RAIZEN;1º semestre;
SE;SP;ARARAQUARA;PRISMA AUTO POSTO LTDA; 06.111.337/0001-52;AVENIDA FRANCISCO CARLOS MERLOS;2400;;1DISTRITO INDUSTRIAL;14808-010;DIESEL S10;31/05/2021;4,395;;R$ / litro;BRANCA;1º semestre;
SE;SP;SAO PAULO;AUTO POSTO CAPAO REDONDO LTDA; 32.753.965/0001-41;ESTRADA DE ITAPECERICA;5530;;JARDIM VISTA LINDA;05858-000;ETANOL;05/01/2021;2,899;;R$ / litro;BRANCA;1º semestre;
;PR;TOLEDO;BRIXNER & BRIXNER LTDA.; 01.332.868/0001-51;AVENIDA MINISTRO CIRNE LIMA;3405;;JARDIM COOPAGRO;85903-590;GASOLINA;06/09/2021;5,89;;R$ / litro;IPIRANGA;2º semestre;S
;PR;PARANAVAI;BOTINI GONÇALVES E CIA LTDA.; 07.872.728/0001-52;AVENIDA PRESIDENTE TANCREDO NEVES;2175;;JARDIM OURO VERDE;87702-180;DIESEL S10;02/08/2021;4,45;;R$ / litro;BRANCA;2º semestre;S
SE;SP;VARZEA PAULISTA;POSTO MARATONI LTDA; 01.024.094/0001-00;RUA PASCOAL GIANFRANCESCO;11;;JD BERTIOGA;13225-575;GASOLINA;01/06/2021;5,399;;R$ / litro;BRANCA;1º semestre;
;RN;NATAL;SM COMERCIAL DE DERIVADOS DE PETROLEO LTDA; 03.459.547/0001-48;RUA MARANATA;425;;PLANALTO;59073-240;ETANOL;18/08/2021;5,569;;R$ / litro;BRANCA;2º semestre;NE
;RS;TORRES;COMERCIO DE COMBUSTIVEIS BOLAO LTDA; 18.036.381/0004-77;AVENIDA BARAO DO RIO BRANCO;1085;SALA 02;CENTRO;95560-000;GASOLINA ADITIVADA;20/07/2021;6,099;;R$ / litro;POTENCIAL;2º semestre;S
;RS;VACARIA;POSTO DE COMBUSTIVEIS ULYSSE MARASCHIN LTDA; 01.978.708/0002-65;AVENIDA MILITAR;398;;NOSSA SENHORA DE FATIMA;95210-024;GNV;16/11/2021;4,998;;R$ / m³;BRANCA;2º semestre;S
;PR;PONTA GROSSA;POSTO BOA VISTA EIRELI; 77.488.005/0007-25;RUA SIQUEIRA CAMPOS;2299;;UVARANAS;84031-030;DIESEL S10;04/08/2021;4,449;;R$ / litro;RAIZEN;2º semestre;S
