ï»¿Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;semestre;Regiao - Sigla
;SP;SAO JOSE DO RIO PRETO;POSTO PALESTRA COMBUSTIVEIS - RIO PRETO LTDA.; 11.362.265/0001-56;AVENIDA ERNANI PIRES DOMINGUES;6550;;RESIDENCIAL PALESTRA;15040-709;ETANOL;20/07/2021;4,049;;R$ / litro;BRANCA;2º semestre;SE
SE;SP;RIBEIRAO PRETO;AUTO POSTO RIO BRANCO DE RIBEIRAO PRETO LTDA; 19.596.536/0001-40;AVENIDA DOUTOR FRANCISCO JUNQUEIRA;631;;CAMPOS ELÃSEOS;14085-310;GASOLINA;27/01/2021;4,239;;R$ / litro;RIO BRANCO;1º semestre;
SE;MG;MONTE CARMELO;GLORIA AUTO POSTO LTDA; 04.303.453/0001-48;RUA URUGUAI;311;;BAIRRO DO TREVO;38500-000;DIESEL S10;26/04/2021;4,239;;R$ / litro;BRANCA;1º semestre;
;SP;CAMPINAS;AUTO POSTO ESKEMA LTDA; 49.805.088/0001-08;AVENIDA ANA BEATRIZ BIERREMBACH;1,215;;VILA MIMOSA;13050-060;DIESEL S10;23/08/2021;4,699;;R$ / litro;IPIRANGA;2º semestre;SE
;RJ;ARARUAMA;POSTO TRES AMIGOS LTDA; 28.531.838/0001-20;RODOVIA RIO BONITO ARARUAMA;S/N;KM    35;ITATIQUARA;28970-000;GASOLINA;10/08/2021;6,299;;R$ / litro;BRANCA;2º semestre;SE
;RS;ALEGRETE;PILECCO, PAIM & CIA LTDA - ME; 13.685.203/0002-91;PRACA OSWALDO ARANHA;199;;CENTRO;97541-540;DIESEL;13/09/2021;4,707;;R$ / litro;RAIZEN;2º semestre;S
;PA;ITAITUBA;LEAL E LEAL LTDA; 14.790.429/0001-34;RODOVIA TRANSAMAZONICA;S/N;": ESQ. C/ 34 RUA;";COMERCIO;68180-010;GASOLINA ADITIVADA;25/08/2021;6,19;;R$ / litro;SABBÁ;2º semestre;N
N;RR;BOA VISTA;ARNOGAS & CIA. LTDA.; 05.939.533/0003-19;RUA JOÃO ALENCAR;696;;AEROPORTO;69312-042;GASOLINA;27/04/2021;5,39;;R$ / litro;VIBRA ENERGIA;1º semestre;
;SP;OSASCO;AUTO POSTO PARADA 52 LTDA; 21.103.293/0001-02;AVENIDA JOAO DE ANDRADE;1901;;SANTO ANTONIO;06132-000;ETANOL;18/10/2021;4,399;;R$ / litro;IPIRANGA;2º semestre;SE
NE;RN;NATAL;POSTO MONTE BELO COMÃRCIO DE COMBUSTÃVEIS LTDA.; 40.804.791/0001-27;AVENIDA DAS ALAGOAS;358;;NEÃPOLIS;59086-200;ETANOL;02/03/2021;4,38;;R$ / litro;VIBRA ENERGIA;1º semestre;
SE;MG;SETE LAGOAS;POSTO J LTDA; 22.365.258/0001-24;RUA EDUARDO ALVES FERREIRA;40;;JARDIM AMELIA;35700-173;GASOLINA;01/03/2021;5,499;;R$ / litro;VIBRA ENERGIA;1º semestre;
;MS;DOURADOS;AUTO POSTO SAN CRISTOVAO LTDA; 10.876.085/0001-20;RUA MONTE ALEGRE;5800;;JARDIM MAIPU;79833-120;ETANOL;09/08/2021;4,599;;R$ / litro;TAURUS;2º semestre;CO
N;AC;RIO BRANCO;M.D.M. COMERCIO DE COMBUSTIVEIS LTDA; 13.816.771/0001-01;RUA DO CAFE;153;;DISTRITO INDUSTRIAL;69920-190;GASOLINA ADITIVADA;31/05/2021;6,35;;R$ / litro;VIBRA ENERGIA;1º semestre;
SE;MG;BETIM;POSTO BARRA SETE LTDA.; 14.719.755/0002-36;AVENIDA DO CONTORNO;4350;;JARDIM TERESÃPOLIS;32500-000;DIESEL S10;21/03/2021;4,389;;R$ / litro;VIBRA ENERGIA;1º semestre;
SE;SP;SUMARE;AUTO POSTO AVENIDA REBOUÃAS DE SUMARÃ LTDA; 73.045.981/0001-67;AVENIDA REBOUCAS;2718;;CENTRO;13170-390;GASOLINA;18/01/2021;4,099;;R$ / litro;BRANCA;1º semestre;
S;RS;PORTO ALEGRE;F K SPORLEDER COMERCIO DE COMBUSTIVEIS EIRELI; 34.713.694/0001-26;AVENIDA BENTO GONCALVES;8235;;AGRONOMIA;91540-000;DIESEL S10;04/05/2021;4,499;;R$ / litro;BRANCA;1º semestre;
N;AP;MACAPA;POSTO ICCAR LTDA; 02.280.133/0034-52;AVENIDA RIO VILA NOVA;62;ESQ. C/ RUA BEIRA RIO;TREM;68905-160;DIESEL;28/04/2021;4,33;;R$ / litro;BRANCA;1º semestre;
;RJ;PETROPOLIS;ALPS AUTO POSTO LTDA; 04.012.786/0001-18;RUA CORONEL VEIGA;1770;;CORONEL VEIGA;25655-152;GASOLINA;13/07/2021;6,697;;R$ / litro;BRANCA;2º semestre;SE
;RS;CACHOEIRA DO SUL;COMERCIO DE COMBUSTIVEIS NEVOEIRO LTDA; 95.425.369/0012-05;AVENIDA BRASIL;1811;;CENTRO;96503-490;GASOLINA;06/09/2021;6,099;;R$ / litro;IPIRANGA;2º semestre;S
;PB;CABEDELO;FURTADO & CIA LTDA; 09.220.427/0001-70;RUA DUQUE DE CAXIAS;293;0;CENTRO;58310-000;DIESEL;02/09/2021;4,59;;R$ / litro;IPIRANGA;2º semestre;NE
;PE;RECIFE;PASSIRA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 05.066.120/0002-96;AVENIDA JOAO DE BARROS;1179;;ESPINHEIRO;52021-180;DIESEL S10;02/12/2021;5,499;;R$ / litro;VIBRA ENERGIA;2º semestre;NE
;AL;MACEIO;M H DA COSTA E CIA LTDA; 08.203.497/0001-57;AVENIDA JUCA SAMPAIO;1550 E;1550/A;BARRO DURO;57045-365;DIESEL;06/09/2021;5,499;;R$ / litro;VIBRA ENERGIA;2º semestre;NE
CO;MT;CUIABA;COMERCIO DE COMBUSTIVEIS PIONEIRA LTDA; 06.646.496/0001-51;RODOVIA PALMIRO PAES DE BARROS  KM 02;S/N;;JD. JOCKEI CLUB;78095-330;DIESEL S10;21/06/2021;4,899;;R$ / litro;VIBRA ENERGIA;1º semestre;
;MG;CONSELHEIRO LAFAIETE;AUTO POSTO GIGANTE LTDA; 13.093.320/0001-85;RUA CRISTOVAO DE SENA;1201;;GIGANTE;36400-001;DIESEL S10;27/12/2021;5,289;;R$ / litro;BRANCA;2º semestre;SE
SE;SP;SAO BERNARDO DO CAMPO;AUTO POSTO BEIRA BAIXA LTDA; 59.104.489/0001-94;AVENIDA DOUTOR RUDGE RAMOS;906;;RUDGE RAMOS;09638-000;DIESEL S10;30/03/2021;4,099;;R$ / litro;RAIZEN;1º semestre;
SE;SP;VOTORANTIM;AUTO POSTO CORREA NETO LTDA; 06.158.478/0001-20;AVENIDA GISELE CONSTANTINO;81;;JARDIM CLARICE;18110-650;ETANOL;28/06/2021;3,899;;R$ / litro;BRANCA;1º semestre;
;GO;VALPARAISO DE GOIAS;NDM COMERCIO DE PETROLEO LTDA; 28.941.685/0001-90;AREA AREA ESPECIAL;S/N;;VALPARAISO I - ETAPA E;72870-001;GASOLINA;09/12/2021;7,399;;R$ / litro;IPIRANGA;2º semestre;CO
;RJ;SAO GONCALO;CARREFOUR COMERCIO E INDUSTRIA LTDA; 45.543.915/0292-44;RUA DOUTOR OLIVEIRA BOTELHO;349;PARTE;NEVES;24425-000;ETANOL;04/11/2021;6,799;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;SP;PRAIA GRANDE;AUTO POSTO AIMORES DE PRAIA GRANDE LTDA; 21.948.411/0001-83;AVENIDA PRESIDENTE KENNEDY;4854;;TUPI;11703-200;ETANOL;01/12/2021;5,099;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;RS;VACARIA;AUTO POSTO ARY FILHO LTDA.; 90.042.912/0001-19;AVENIDA MILITAR;643;;CENTRO;95200-000;GASOLINA ADITIVADA;08/09/2021;6,84;;R$ / litro;VIBRA ENERGIA;2º semestre;S
SE;SP;MOGI DAS CRUZES;VIP AUTO POSTO DE MOGI LTDA; 05.260.022/0001-04;AVENIDA PREF. FRANCISCO RIBEIRO NOGUEIRA;2,991;;MOGI MODERNO;08717-490;GASOLINA ADITIVADA;10/03/2021;5,599;;R$ / litro;RAIZEN;1º semestre;
;SP;CRUZEIRO;AUTO POSTO ESQUINA 3 LTDA; 31.922.926/0001-68;RUA SANTA CRUZ;51;;CENTRO;12701-470;GASOLINA ADITIVADA;28/12/2021;6,599;;R$ / litro;RAIZEN;2º semestre;SE
;SP;SAO PAULO;POSTO DE SERVIÇOS ARCUAN LTDA; 13.677.002/0001-61;AVENIDA JOAO XXIII;1376;;VILA FORMOSA;03361-001;DIESEL S10;27/07/2021;4,473;;R$ / litro;IPIRANGA;2º semestre;SE
;ES;VILA VELHA;POSTO RIO MARINHO COMERCIO DE DERIVADOS DE PETROLEO EIRELI - EPP; 18.366.697/0001-84;AVENIDA RIO MARINHO;S/N;;RIO MARINHO;29112-690;ETANOL;14/12/2021;6,499;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
CO;MT;CUIABA;COMERCIAL DE COMBUSTIVEIS PARAISO EIRELI; 05.391.756/0001-22;AVENIDA JOSE TORQUATO;2,896;HIST. RUBENS MENDONCA;NOVO PARAISO;78055-714;GASOLINA;02/03/2021;5,15;;R$ / litro;BRANCA;1º semestre;
;MT;CUIABA;AUTO POSTO SANTA MARTA LTDA; 28.279.948/0001-47;AVENIDA MIGUEL SUTIL;6692;ESQ. RUA SAO PAULO;JARDIM SANTA MARTA;78043-695;GASOLINA;12/08/2021;5,999;;R$ / litro;RAIZEN;2º semestre;CO
;MG;VICOSA;POSTO CANAA LTDA; 17.765.579/0001-86;PRACA MARIO DEL GIUDICE;84;;CENTRO;36570-049;DIESEL S10;11/11/2021;5,828;;R$ / litro;RAIZEN;2º semestre;SE
;MG;CONTAGEM;POSTO 3000 LTDA; 66.440.215/0001-31;RUA MATO GROSSO;495;0;VILA UNIVERSAL;32686-050;DIESEL S10;07/12/2021;5,195;;R$ / litro;RAIZEN;2º semestre;SE
;SP;SAO PAULO;A.P. VILA ESPERANÇA LTDA; 61.399.093/0001-63;AVENIDA PADRE OLIVETANOS;558;;PENHA DE FRANÇA;36480-000;GASOLINA ADITIVADA;07/07/2021;5,599;;R$ / litro;IPIRANGA;2º semestre;SE
SE;SP;CATANDUVA;MANFRIN E MARTANI & CIA LTDA; 47.076.898/0001-45;RUA SETE DE SETEMBRO;253;;HIGIENOPOLIS;15805-070;ETANOL;31/05/2021;4,299;;R$ / litro;VIBRA ENERGIA;1º semestre;
;MG;JUIZ DE FORA;BANDEIRANTES COMERCIO DE COMBUSTIVEIS LTDA; 11.281.129/0001-31;RUA PARACATU;1800;;BANDEIRANTES;36047-040;ETANOL;06/09/2021;4,999;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
NE;PE;RECIFE;POSTO AÃORES LTDA; 05.930.453/0001-30;ESTRADA DE BELEM;803;;HIPODROMO;52040-490;ETANOL;18/02/2021;3,679;;R$ / litro;TDC DISTRIBUIDORA;1º semestre;
NE;BA;ITABUNA;DERIVADOS DE PETROLEO MELHOR MONTEIRO EIRELI; 13.026.737/0001-25;AVENIDA AZIZ MARON;SN;;GOES CALMON;45605-412;GASOLINA;17/02/2021;5,38;;R$ / litro;BRANCA;1º semestre;
SE;SP;SAO CARLOS;AUTO POSTO TROPICAL DE SAO CARLOS LTDA; 08.670.590/0001-71;RUA BRUNO RUGGIERO FILHO;1157;TERREO;PARQUE SANTA FELICIA;13562-420;GASOLINA;18/02/2021;4,539;;R$ / litro;BRANCA;1º semestre;
;MT;RONDONOPOLIS;SCALEZ - COMERCIO DE DERIVADOS DE PETROLEO LTDA; 02.748.491/0002-60;AVENIDA BANDEIRANTES;S/N;;JARDIM ASSUNÇÃO;78700-000;GASOLINA ADITIVADA;17/08/2021;6,179;;R$ / litro;VIBRA ENERGIA;2º semestre;CO
SE;SP;ITU;NOSSO POSTO DE ITU LTDA.; 09.609.285/0001-37;RUA  MAESTRO ISAIAS SPARANINZE BELCUFINE;114;;VILA PADRE BENTO;13313-013;GASOLINA;01/03/2021;4,699;;R$ / litro;BRANCA;1º semestre;
NE;CE;FORTALEZA;GOMES & COE COMERCIO DE COMBUSTIVEIS E REPRESENTACOES LTDA; 04.436.076/0001-15;AVENIDA JORNALISTA TOMAZ COELHO;1878;;JANGURUSSU/MESSEJANA;60864-810;GASOLINA ADITIVADA;30/05/2021;5,799;;R$ / litro;VIBRA ENERGIA;1º semestre;
NE;BA;ITABUNA;DERIVADOS DE PETROLEO E SERVICOS LTDA; 14.345.573/0001-61;AVENIDA JOSE SOARES PINHEIRO;2261;TERREO;LOMANTO JUNIOR;45601-051;GASOLINA;16/03/2021;6,06;;R$ / litro;BRANCA;1º semestre;
SE;SP;SAO PAULO;AUTO POSTO FLOR DA LUZ LTDA; 03.546.766/0001-64;RUA JOAO TEODORO;284;;BOM RETIRO;01105-000;DIESEL S10;23/03/2021;4,299;;R$ / litro;RAIZEN;1º semestre;
NE;PE;JABOATAO DOS GUARARAPES;SANTO ALEIXO COMERCIO DE COMBUSTIVEIS LTDA; 01.389.571/0001-22;ESTRADA DA LUZ;2284;;SANTO ALEIXO;54120-050;GASOLINA;03/01/2021;4,39;;R$ / litro;IPIRANGA;1º semestre;
SE;SP;BARRETOS;CARVALHO & FILHO AUTO POSTO LTDA; 21.309.388/0001-87;AVENIDA ENGENHEIRO NECKER CARVALHO DE CAMARGOS;2230;;AMERICA;14783-085;DIESEL S10;31/05/2021;4,699;;R$ / litro;IPIRANGA;1º semestre;
;BA;SALVADOR;POSTO GARIBALDI REVENDEDORA DE COMBUSTIVEIS E LUBRIFICANTES LTDA; 11.170.833/0001-17;AVENIDA ANITA GARIBALDI;1746;;ONDNA;40170-130;ETANOL;15/11/2021;5,64;;R$ / litro;BRANCA;2º semestre;NE
SE;SP;ADAMANTINA;MARCIO A SPOSITO TRANSPORTES LTDA; 54.187.588/0002-44;AVENIDA RIO BRANCO;1625;;VILA INDUSTRIAL;17800-000;GASOLINA;28/04/2021;5,59;;R$ / litro;IPIRANGA;1º semestre;
;SC;MAFRA;COMERCIO DE COMB. JK LTDA; 00.987.292/0001-06;RUA SIQUEIRA CAMPOS;27;;CENTRO;89300-000;DIESEL S10;06/09/2021;5,749;;R$ / litro;VIBRA ENERGIA;2º semestre;S
CO;GO;FORMOSA;FENIX COMERCIO DE COMBUSTIVEIS LTDA; 25.078.775/0001-00;RUA WALDEMIRO DE MIRANDA;238;;CENTRO;73801-310;ETANOL;28/03/2021;4,279;;R$ / litro;VIBRA ENERGIA;1º semestre;
;MG;UBERABA;POSTO DA SAUDADE LTDA; 02.498.326/0001-16;AVENIDA DA SAUDADE;914;;MERCES;38061-000;GASOLINA;17/08/2021;6,199;;R$ / litro;BRANCA;2º semestre;SE
NE;CE;FORTALEZA;ORGANIZACAO HELIO MEIRELES PETROLEO LTDA; 73.676.140/0001-58;AVENIDA SANTOS DUMONT;5450;;PAPICU;60150-162;GASOLINA;12/01/2021;4,799;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.;1º semestre;
;PB;JOAO PESSOA;CRISTO REDENTOR COMERCIO DE COMBUSTIVEIS LTDA; 28.134.649/0001-14;AVENIDA DOIS DE FEVEREIRO;793;TERREO101;VARJAO;58070-000;DIESEL S10;21/12/2021;5,49;;R$ / litro;BRANCA;2º semestre;NE
;PR;UNIAO DA VITORIA;AUTO POSTO IPIRANGA LTDA; 81.642.308/0001-32;AVENIDA MANOEL RIBAS;988;;CENTRO;84600-010;GASOLINA ADITIVADA;03/11/2021;6,86;;R$ / litro;IPIRANGA;2º semestre;S
S;RS;PORTO ALEGRE;DLS ABASTECEDORA DE COMBUSTIVEIS LTDA; 33.981.224/0001-80;AVENIDA IPIRANGA;435;;PRAIA DE BELAS;90160-092;GASOLINA ADITIVADA;07/02/2021;4,899;;R$ / litro;BRANCA;1º semestre;
NE;CE;MARACANAU;POSTO BOTO LTDA; 03.020.995/0001-40;AVENIDA PADRE JOSE HOLANDA DO VALE;809;;PIRATININGA;61905-000;GASOLINA ADITIVADA;01/04/2021;5,649;;R$ / litro;RAIZEN;1º semestre;
;MG;GOVERNADOR VALADARES;COMERCIO DE COMBUSTIVEIS MORADA DO VALE LTDA; 28.157.925/0001-60;AVENIDA MINAS GERAIS;3000;;GRA-DUQUESA;35057-760;GASOLINA;07/09/2021;6,399;;R$ / litro;BRANCA;2º semestre;SE
S;SC;BLUMENAU;POSTO ITOUPAVAZINHA LTDA; 02.714.732/0001-79;RUA FREDERICO JENSEN;1080;;ITOUPAVAZINHA;89066-301;GASOLINA ADITIVADA;24/05/2021;5,699;;R$ / litro;VIBRA ENERGIA;1º semestre;
NE;MA;SAO LUIS;POSTO NATUREZA COHAB E SERVICOS LTDA; 26.060.330/0001-66;AVENIDA JERONIMO DE ALBUQUERQUE MARANHAO;5;;COHAB ANIL I;65051-210;ETANOL;07/04/2021;4,399;;R$ / litro;SABBÃ;1º semestre;
;SP;PINDAMONHANGABA;AUTO POSTO AVENIDA BOM SUCESSO LTDA; 54.125.844/0001-98;AVENIDA N SRA DO BOM SUCESSO;841;;CAMPO ALEGRE;12420-010;ETANOL;10/11/2021;5,229;;R$ / litro;IPIRANGA;2º semestre;SE
S;RS;BAGE;F.F.STAEVIE COMBUSTIVEIS LTDA; 05.757.241/0001-01;AVENIDA SANTA TECLA;1891;;GETULIO VARGAS;96413-000;DIESEL;07/06/2021;4,898;;R$ / litro;VIBRA ENERGIA;1º semestre;
;RS;SANTO ANGELO;POSTO SANTA TEREZINHA LTDA; 87.723.417/0008-37;AVENIDA GETULIO VARGAS;3636;TERREOTREVO DA URI;CENTRO NORTE;98801-630;DIESEL;02/08/2021;4,699;;R$ / litro;BRANCA;2º semestre;S
;AM;MANAUS;INTERLAGOS DERIVADOS DE PETRÓLEO LTDA.; 06.539.938/0001-60;RUA JOÃO CÂMARA;17;QD. 428, CONJUNTO CIDADE NOVA IV-ETAPA 4-NUCLEO 16;CIDADE NOVA;69098-320;GASOLINA;28/12/2021;6,599;;R$ / litro;VIBRA ENERGIA;2º semestre;N
SE;RJ;RIO DE JANEIRO;AUTO POSTO CRISTIANE LTDA; 42.254.086/0001-29;ESTRADA DOS BANDEIRANTES;4680;;JACAREPAGUA;22783-117;GNV;18/01/2021;3,199;;R$ / mÂ³;IPIRANGA;1º semestre;
S;PR;CASCAVEL;GONCALVES TORRES & COSTA LTDA; 08.049.268/0001-20;RUA ALTEMAR DUTRA;1288;;JD CLARITO;85815-460;DIESEL;19/04/2021;3,98;;R$ / litro;RAIZEN;1º semestre;
SE;SP;FRANCA;AUTO POSTO PAINEIRAO III - EIRELI; 07.242.658/0001-59;AVENIDA DR HELIO PALERMO;4415;;JDM DR ANTONIO PETRA;14409-045;DIESEL S10;23/02/2021;4,079;;R$ / litro;BRANCA;1º semestre;
;RS;ERECHIM;COOPERATIVA DE ACESSO COLETIVO AOS BENS E SERVICOS DE CONSUMO DO ALTO URUGUAI LTDA; 07.639.400/0002-71;AVENIDA CALDAS JUNIOR;1555;;BOA VISTA;99714-052;DIESEL S10;30/08/2021;4,448;;R$ / litro;MAXSUL;2º semestre;S
;SP;ARARAS;POSTO TIGER ARARAS LTDA; 03.830.667/0001-00;AVENIDA DONA RENATA;1835;;BOA VISTA;13601-000;GASOLINA;08/11/2021;6,376;;R$ / litro;BRANCA;2º semestre;SE
SE;ES;VITORIA;POSTO THIAGO LIMITADA; 01.514.752/0001-33;AVENIDA CEZAR HILAL;868;;BENTO FERREIRA;29050-662;GASOLINA;01/02/2021;4,799;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.;1º semestre;
;RJ;NOVA FRIBURGO;M THURLER & CIA LTDA; 28.551.018/0001-09;PRACA ROTARY;22;;OLARIA;28623-050;DIESEL S10;27/09/2021;4,899;;R$ / litro;RAIZEN;2º semestre;SE
;RJ;TERESOPOLIS;POSTO VALE PARAISO LTDA; 32.189.334/0002-22;AVENIDA DELFIM MOREIRA;1972;;VALE DO PARAISO;25976-017;GASOLINA;29/12/2021;6,995;;R$ / litro;BRANCA;2º semestre;SE
;RN;PARNAMIRIM;CIRNE PNEUS COMERCIO E SERVICOS LTDA; 35.304.542/0010-23;AVENIDA PILOTO PEREIRA TIM;2279;;CENTRO;59140-001;GASOLINA;14/07/2021;6,35;;R$ / litro;BRANCA;2º semestre;NE
;BA;VITORIA DA CONQUISTA;AUTO POSTO BAMBU LTDA.; 03.172.451/0001-02;AVENIDA JURACY MAGALHAES;70;;JUREMA;45023-490;DIESEL S10;28/12/2021;5,399;;R$ / litro;BRANCA;2º semestre;NE
SE;SP;TAUBATE;CENTRO AUTOMOTIVO SETE ESTRELAS LTDA; 55.278.543/0009-14;AVENIDA DOM PEDRO I;5391;;JARDIM BARONESA;12091-000;DIESEL S10;30/06/2021;4,299;;R$ / litro;BRANCA;1º semestre;
SE;SP;SAO PAULO;CENTRO DE ABASTECIMENTO DE GAS MILENA LTDA; 04.815.245/0001-28;AVENIDA OTAVIANO ALVES DE LIMA;3926;;NOSSA SRA DO O;02901-000;GNV;23/02/2021;2,799;;R$ / mÂ³;RAIZEN;1º semestre;
;PA;MARABA;POSTO FAZENDAO LTDA; 01.073.551/0001-48;RODOVIA BR 230 - TRANSAMAZONICA;S/N;C/ ESTRADA DO SOCORRO;CIDADE NOVA;68502-440;DIESEL S10;14/07/2021;4,71;;R$ / litro;IPIRANGA;2º semestre;N
SE;RJ;NOVA IGUACU;AUTO POSTO AUSTRAL DE GNV LTDA; 03.633.372/0001-43;RODOVIA PRESIDENTE DUTRA;15,2;;JARDIM ESPLANADA;26210-000;GASOLINA;01/06/2021;6,229;;R$ / litro;BRANCA;1º semestre;
;PB;JOAO PESSOA;J P COMERCIO DE COMBUSTIVEIS LTDA; 41.118.415/0001-41;AVENIDA MINISTRO JOSE AMERICO DE ALMEIDA;511;;TORRE;58040-300;GASOLINA ADITIVADA;25/10/2021;6,198;;R$ / litro;BRANCA;2º semestre;NE
NE;PE;RECIFE;CAMPOS DE MORAIS COMBUSTIVEIS LTDA; 29.841.774/0001-27;AVENIDA VISCONDE DE SAO LEOPOLDO;257;;ENGENHO DO MEIO;50730-120;DIESEL S10;09/03/2021;4,199;;R$ / litro;VIBRA ENERGIA;1º semestre;
;RN;NATAL;POSTO OLINDA LTDA; 40.756.983/0003-77;AVENIDA ENGENHEIRO ROBERTO FREIRE;1810;;CAPIM MACIO;59082-095;ETANOL;27/12/2021;5,69;;R$ / litro;RAIZEN;2º semestre;NE
;SP;FRANCA;AUTO POSTO DISTRITO LTDA.; 09.294.408/0001-98;AVENIDA DOUTOR SEVERINO TOSTES MEIRELLES;1250;;SÃO JOAQUIM;14406-004;DIESEL;06/07/2021;4,459;;R$ / litro;RAIZEN;2º semestre;SE
;AC;RIO BRANCO;JOAFRA - AUTO POSTO EIRELI; 07.466.381/0001-48;AVENIDA GOVERNADOR EDMUNDO PINTO;1502;;CONJUNTO RUI LINO;69919-850;DIESEL S10;06/07/2021;5,49;;R$ / litro;IPIRANGA;2º semestre;N
SE;SP;INDAIATUBA;POSTO DOS ESTEVES LTDA; 20.763.169/0001-00;AVENIDA ITORORO;160;;CENTRO;13330-055;GASOLINA;18/02/2021;4,889;;R$ / litro;IPIRANGA;1º semestre;
;MG;TEOFILO OTONI;AUTO POSTO FILADELFIA LTDA; 25.357.111/0001-80;AVENIDA ALFREDO SA;1650;;JARDIM DAS ACACIAS;39803-000;DIESEL;09/11/2021;5,279;;R$ / litro;BRANCA;2º semestre;SE
;BA;SALVADOR;ENTREPOSTO COMERCIAL DE AMARALINA LTDA; 26.571.630/0001-00;AVENIDA AMARALINA;441;;AMARALINA;41900-020;ETANOL;28/07/2021;4,89;;R$ / litro;BRANCA;2º semestre;NE
SE;MG;UBERABA;AUTO POSTO ESTORIL DE UBERABA LTDA; 26.459.294/0001-08;AVENIDA GUILHERME FERREIRA;2051;;SAO BENEDITO;38022-200;ETANOL;10/03/2021;4,199;;R$ / litro;BRANCA;1º semestre;
;SP;SANTO ANDRE;KELLY AUTO POSTO LTDA; 53.881.678/0001-97;AVENIDA DOM PEDRO I;181;;SILVEIRAS;09110-001;DIESEL S10;25/10/2021;5,199;;R$ / litro;IPIRANGA;2º semestre;SE
SE;SP;PIRASSUNUNGA;SUCESSO PIRASSUNUNGA AUTOPOSTO LTDA - EM RECUPERACAO JUDICIAL; 44.823.193/0001-56; A PADRE ANTONIO VAN ESS;1144;;BAIRRO DA RAIA;13631-301;GASOLINA;07/04/2021;4,899;;R$ / litro;BRANCA;1º semestre;
;MG;UBERABA;JOSE PUERTAS JIMENEZ & FILHOS LTDA; 26.281.022/0002-41;AVENIDA JOSE VALLIM DE MELLO;1156;;PARQUE GAMELEIRAS;38037-070;GASOLINA;06/12/2021;6,99;;R$ / litro;BRANCA;2º semestre;SE
N;AP;MACAPA;J C DA S FARIAS EIRELI; 03.281.737/0001-18;AVENIDA ANTONIO COELHO DE CARVALHO;2257;SALA  A;CENTRAL;68901-280;GASOLINA ADITIVADA;28/04/2021;5,35;;R$ / litro;IPIRANGA;1º semestre;
NE;PB;CAMPINA GRANDE;POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA; 08.587.065/0001-97;RUA DR VASCONCELOS;127;;ALTO BRANCO;58102-501;DIESEL;30/06/2021;4,359;;R$ / litro;FEDERAL ENERGIA;1º semestre;
;SP;CAMPINAS;AUTO POSTO GLOBAL DE CAMPINAS LTDA; 01.369.330/0001-11;RUA MARQUES DE VALENÇA;60;20;JD. SANTA GENEBRA;13080-230;DIESEL;15/11/2021;5,099;;R$ / litro;IPIRANGA;2º semestre;SE
NE;MA;SAO LUIS;POSTO DE GASOLINA SECULO XXI LTDA; 07.801.429/0001-27;AVENIDA JERONIMO DE ALBUQUERQUE MARANHAO;2005;AREA 01;CONJ HABITACIONAL VINHAIS;65071-010;ETANOL;16/06/2021;4,89;;R$ / litro;SABBÃ;1º semestre;
;PE;RECIFE;A. V. COMBUSTIVEIS LTDA; 02.162.112/0002-55;AVENIDA DEZESSETE DE AGOSTO;2290;;POCO;52060-485;ETANOL;15/12/2021;5,199;;R$ / litro;DISLUB;2º semestre;NE
SE;MG;MONTES CLAROS;COMERCIAL J P FILHO LTDA - ME; 25.273.657/0001-53;AVENIDA DOUTOR MARIO TOURINHO;S/N;LOTE  03;CAMILO PRATES;39402-885;ETANOL;08/06/2021;4,39;;R$ / litro;RAIZEN;1º semestre;
